year,day_in_week,Open,High,Low,Close,Volume
2004,2,1.0971,1.1005,1.0922,1.0923,45414.3906
2004,3,1.092,1.0952,1.0893,1.0905,89363.8047
2004,4,1.0905,1.0934,1.0902,1.0913,54936.7656
2004,5,1.091,1.1038,1.088,1.089,89363.8047
2004,1,1.0898,1.0974,1.0898,1.0948,44681.9023
2004,2,1.094,1.0956,1.0921,1.0927,74714.0
2004,3,1.0913,1.0973,1.0885,1.0901,31497.0781
2004,4,1.0904,1.0927,1.0824,1.0844,41751.9414
2004,5,1.0843,1.0864,1.0756,1.0748,77643.9609
2004,1,1.0748,1.0817,1.0748,1.0798,90096.2969
2004,2,1.0797,1.0807,1.0745,1.0775,26369.6465
2004,3,1.0768,1.0783,1.075,1.0766,39554.4727
2004,4,1.077,1.0836,1.077,1.0767,47611.8633
2004,5,1.0767,1.0808,1.0752,1.0749,61529.1758
2004,1,1.0731,1.0788,1.0731,1.0756,53471.7852
2004,2,1.0745,1.0884,1.0744,1.0863,39554.4727
2004,3,1.0859,1.0894,1.0821,1.0858,32962.0586
2004,4,1.0851,1.0874,1.0796,1.0809,80573.9219
2004,5,1.0797,1.0828,1.0737,1.0756,32962.0586
2004,1,1.0724,1.078,1.0719,1.0756,93758.7422
2004,2,1.0757,1.0769,1.0718,1.0737,30764.5879
2004,3,1.0732,1.0759,1.0687,1.0714,85701.3516
2004,4,1.0711,1.0763,1.0702,1.0751,89363.8047
2004,5,1.0773,1.0774,1.064,1.0629,65924.1172
2004,1,1.0629,1.0697,1.0629,1.0648,68854.0781
2004,2,1.0644,1.0735,1.0629,1.071,48344.3516
2004,3,1.0707,1.0747,1.0676,1.0658,47611.8633
2004,4,1.066,1.0671,1.0532,1.0532,62994.1563
2004,5,1.0531,1.0624,1.0531,1.0583,68854.0781
2004,1,1.0597,1.0625,1.0586,1.0594,30032.0977
2004,2,1.0595,1.0616,1.058,1.0594,26369.6465
2004,3,1.0589,1.0611,1.0561,1.0568,42484.4297
2004,4,1.0572,1.0614,1.056,1.0564,58599.2148
2004,5,1.0564,1.0595,1.0563,1.0542,55669.2539
2004,1,1.0552,1.0604,1.0552,1.059,80573.9219
2004,2,1.058,1.0608,1.0579,1.0588,90828.7813
2004,3,1.0589,1.0671,1.0589,1.0649,84968.8594
2004,4,1.0648,1.0725,1.0648,1.0694,41751.9414
2004,5,1.0695,1.0722,1.0677,1.0676,79841.4297
2004,1,1.0679,1.0722,1.0637,1.0702,36624.5117
2004,2,1.07,1.0739,1.07,1.0707,73249.0234
2004,3,1.0702,1.0724,1.0674,1.0709,71784.0391
2004,4,1.0692,1.0736,1.0682,1.0729,47611.8633
2004,5,1.0727,1.0796,1.0698,1.0747,62994.1563
2004,1,1.0754,1.0786,1.0754,1.0775,54936.7656
2004,2,1.0776,1.079,1.0729,1.0745,43216.9219
2004,3,1.0739,1.0755,1.0711,1.0705,88631.3125
2004,4,1.0694,1.0764,1.0694,1.0748,82771.3906
2004,5,1.0746,1.0768,1.0725,1.0724,45414.3906
2004,1,1.0768,1.0779,1.0748,1.0738,74714.0
2004,2,1.0735,1.0773,1.0735,1.0766,57134.2344
2004,3,1.0762,1.0787,1.0722,1.0715,35159.5313
2004,4,1.0714,1.0744,1.0674,1.0698,30764.5879
2004,5,1.0688,1.0725,1.0628,1.0631,62261.668
2004,1,1.0649,1.0653,1.0585,1.058,93758.7422
2004,2,1.0571,1.0625,1.0571,1.0599,36624.5117
2004,3,1.0601,1.0641,1.0579,1.0619,24904.666
2004,4,1.0626,1.0657,1.0626,1.0622,78376.4531
2004,5,1.0627,1.0671,1.0624,1.0622,68854.0781
2004,1,1.0631,1.0667,1.0624,1.0652,50541.8242
2004,2,1.0662,1.0707,1.0662,1.0695,83503.8828
2004,3,1.0705,1.0846,1.0698,1.0817,73981.5078
2004,4,1.0816,1.0933,1.0816,1.0909,27834.627
2004,5,1.0905,1.0944,1.0888,1.0911,30032.0977
2004,1,1.0896,1.0933,1.0896,1.091,79108.9453
2004,2,1.0911,1.0921,1.084,1.0887,27834.627
2004,3,1.0887,1.0979,1.0882,1.0933,57134.2344
2004,4,1.0933,1.1011,1.0933,1.0955,95956.2188
2004,5,1.0955,1.106,1.0941,1.0961,54936.7656
2004,1,1.0968,1.099,1.0899,1.094,31497.0781
2004,2,1.0945,1.1041,1.0927,1.1017,54204.2734
2004,3,1.1029,1.1135,1.1006,1.1085,57134.2344
2004,4,1.1084,1.1133,1.1074,1.1099,45414.3906
2004,5,1.1107,1.1132,1.1031,1.1076,36624.5117
2004,1,1.1074,1.1084,1.1015,1.1021,52739.293
2004,2,1.1035,1.1044,1.1008,1.1035,30032.0977
2004,3,1.1038,1.1063,1.1018,1.1031,27102.1367
2004,4,1.1031,1.1049,1.0985,1.1004,85701.3516
2004,5,1.0999,1.1091,1.099,1.104,65924.1172
2004,1,1.103,1.1052,1.1014,1.1016,52739.293
2004,2,1.1014,1.1052,1.0998,1.1021,63726.6484
2004,3,1.1008,1.1094,1.1008,1.1067,94491.2344
2004,4,1.1072,1.1079,1.1033,1.1056,65924.1172
2004,5,1.1045,1.1066,1.0993,1.1022,68121.5859
2004,1,1.1001,1.1039,1.0928,1.093,92293.7656
2004,2,1.0928,1.094,1.0781,1.0822,32229.5684
2004,3,1.0814,1.0835,1.0781,1.0802,57866.7266
2004,4,1.0812,1.0846,1.0782,1.0805,95223.7266
2004,5,1.0806,1.0854,1.0771,1.0838,43949.4102
2004,1,1.0834,1.0843,1.072,1.0743,49809.332
2004,2,1.0735,1.0798,1.0732,1.0787,84968.8594
2004,3,1.0789,1.0807,1.057,1.0572,79841.4297
2004,4,1.0564,1.0664,1.0564,1.0627,57134.2344
2004,5,1.061,1.0691,1.061,1.0653,86433.8438
2004,1,1.0662,1.0703,1.0636,1.0674,40286.9609
2004,2,1.067,1.0709,1.0662,1.0647,62261.668
2004,3,1.0649,1.0675,1.0621,1.063,55669.2539
2004,4,1.0627,1.0668,1.0493,1.065,89363.8047
2004,5,1.0642,1.0707,1.0612,1.068,67389.1016
2004,1,1.0678,1.0696,1.0637,1.0683,71051.5469
2004,2,1.0693,1.088,1.0701,1.0755,58599.2148
2004,3,1.0758,1.0785,1.0717,1.0728,50541.8242
2004,4,1.0731,1.088,1.0717,1.0748,31497.0781
2004,5,1.0743,1.0764,1.0709,1.0704,64459.1367
2004,1,1.0714,1.079,1.0714,1.0747,84968.8594
2004,2,1.0752,1.0817,1.0745,1.079,94491.2344
2004,3,1.0792,1.0973,1.0783,1.0825,44681.9023
2004,4,1.0835,1.088,1.0826,1.084,66656.6094
2004,5,1.0849,1.0956,1.0804,1.0869,70319.0625
2005,1,1.0861,1.0921,1.0833,1.0887,62994.1563
2005,2,1.0893,1.0921,1.0846,1.0886,46146.8828
2005,3,1.0882,1.0953,1.0845,1.0936,33694.5508
2005,4,1.0935,1.094,1.0872,1.0886,62261.668
2005,5,1.0893,1.0914,1.0837,1.0879,33694.5508
2005,1,1.0881,1.0946,1.0881,1.0911,74714.0
2005,2,1.0909,1.0941,1.0896,1.0915,79841.4297
2005,3,1.0909,1.0935,1.084,1.0844,41751.9414
2005,4,1.0845,1.0902,1.0832,1.0858,39554.4727
2005,5,1.0857,1.0885,1.0843,1.0844,66656.6094
2005,1,1.0839,1.0894,1.0819,1.0879,54936.7656
2005,2,1.0873,1.0894,1.0842,1.0845,37357.0
2005,3,1.0841,1.0862,1.0805,1.0832,68121.5859
2005,4,1.0825,1.0854,1.0752,1.0743,47611.8633
2005,5,1.0735,1.0806,1.0714,1.0765,27834.627
2005,1,1.0754,1.0793,1.0754,1.0771,42484.4297
2005,2,1.077,1.0815,1.0736,1.0772,78376.4531
2005,3,1.0767,1.084,1.0761,1.0813,89363.8047
2005,4,1.0809,1.0871,1.0805,1.0861,63726.6484
2005,5,1.0853,1.0901,1.083,1.0874,86433.8438
2005,1,1.0863,1.0925,1.0843,1.0903,80573.9219
2005,2,1.0906,1.0922,1.084,1.087,89363.8047
2005,3,1.086,1.0906,1.0849,1.0886,47611.8633
2005,4,1.0889,1.0915,1.0834,1.0851,34427.0391
2005,5,1.0849,1.0871,1.0804,1.0837,94491.2344
2005,1,1.0837,1.0972,1.0803,1.0959,90828.7813
2005,2,1.0953,1.0999,1.0894,1.0963,46879.3711
2005,3,1.0948,1.0969,1.0933,1.0937,95956.2188
2005,4,1.0942,1.1084,1.0941,1.1002,76911.4688
2005,5,1.0996,1.1027,1.0973,1.1003,84968.8594
2005,1,1.0994,1.1036,1.0982,1.1021,25637.1563
2005,2,1.1019,1.103,1.097,1.0992,68854.0781
2005,3,1.0999,1.1006,1.0939,1.0988,67389.1016
2005,4,1.0987,1.1021,1.0942,1.0965,41751.9414
2005,5,1.0969,1.0978,1.0871,1.0895,79108.9453
2005,1,1.089,1.0915,1.0846,1.088,46879.3711
2005,2,1.0877,1.0915,1.085,1.091,77643.9609
2005,3,1.09,1.092,1.0855,1.088,84968.8594
2005,4,1.0882,1.0919,1.0868,1.0903,62261.668
2005,5,1.0899,1.0904,1.0852,1.0878,43949.4102
2005,1,1.0877,1.0917,1.0868,1.0888,79108.9453
2005,2,1.0887,1.0909,1.0788,1.0813,88631.3125
2005,3,1.0811,1.0843,1.0752,1.076,29299.6074
2005,4,1.0764,1.0787,1.0743,1.0762,73981.5078
2005,5,1.0754,1.0815,1.0748,1.0784,44681.9023
2005,1,1.0775,1.0782,1.0751,1.077,84236.375
2005,2,1.0764,1.0797,1.0761,1.0782,76178.9844
2005,3,1.0779,1.083,1.07,1.0724,78376.4531
2005,4,1.0725,1.0755,1.0681,1.0701,79108.9453
2005,5,1.0709,1.0742,1.0695,1.0701,46879.3711
2005,1,1.0711,1.0738,1.0665,1.0659,54204.2734
2005,2,1.0661,1.0691,1.0661,1.0673,28567.1172
2005,3,1.0669,1.0686,1.0655,1.0657,60796.6875
