year,day_in_week,Open,High,Low,Close,Volume
2009,1,0.8884,0.9342,0.8863,0.9329,1176.0
2009,2,0.9325,0.9448,0.9293,0.9421,951.0
2009,3,0.9424,0.9436,0.913,0.9225,888.0
2009,4,0.923,0.927,0.9142,0.926,1115.0
2009,5,0.9261,0.9397,0.9228,0.9375,855.0
2009,1,0.9358,0.9392,0.9139,0.9159,1051.0
2009,2,0.9161,0.9186,0.9092,0.9117,866.0
2009,3,0.913,0.9185,0.8929,0.8942,398.0
2009,4,0.8937,0.8987,0.8926,0.8961,369.0
2009,5,0.8956,0.9009,0.894,0.8997,417.0
2009,1,0.8993,0.9058,0.8981,0.9028,1154.0
2009,2,0.9029,0.9087,0.9013,0.9064,555.0
2009,3,0.9062,0.9192,0.9035,0.9156,628.0
2009,4,0.9155,0.9208,0.9143,0.9208,425.0
2009,5,0.9207,0.938,0.9196,0.9377,582.0
2009,1,0.9369,0.9441,0.927,0.9297,851.0
2009,2,0.9311,0.932,0.9264,0.93,789.0
2009,3,0.9297,0.952,0.926,0.9501,453.0
2009,4,0.9489,0.9489,0.9399,0.9423,604.0
2009,5,0.9416,0.9452,0.9373,0.9448,758.0
2009,1,0.946,0.9476,0.9314,0.9323,881.0
2009,2,0.9325,0.9349,0.9263,0.9285,901.0
2009,3,0.9278,0.9448,0.9274,0.9403,736.0
2009,4,0.9402,0.9515,0.9384,0.9511,618.0
2009,5,0.9509,0.9527,0.9442,0.9516,988.0
2009,1,0.9505,0.9572,0.9478,0.9564,951.0
2009,2,0.9557,0.9613,0.9279,0.9316,626.0
2009,3,0.93,0.9351,0.9275,0.9331,808.0
2009,4,0.9342,0.9349,0.9287,0.9339,771.0
2009,5,0.9337,0.9412,0.9319,0.9393,909.0
2009,1,0.9351,0.9405,0.9191,0.9336,2334.0
2009,2,0.9343,0.9398,0.9225,0.9244,1003.0
2009,3,0.9237,0.938,0.9231,0.932,1018.0
2009,4,0.9322,0.9355,0.9308,0.9345,998.0
2009,5,0.9352,0.9431,0.9213,0.9228,984.0
2009,1,0.922,0.9348,0.9202,0.9334,746.0
2009,2,0.9337,0.9355,0.9249,0.9332,783.0
2009,3,0.9331,0.9342,0.9274,0.9316,1019.0
2009,4,0.9315,0.934,0.9274,0.9302,727.0
2009,5,0.93,0.9315,0.9142,0.9164,604.0
2009,1,0.917,0.9204,0.9067,0.9111,507.0
2009,2,0.9106,0.9131,0.9074,0.91,545.0
2009,3,0.9106,0.9197,0.9097,0.9157,644.0
2009,4,0.9169,0.9187,0.9063,0.9073,969.0
2009,5,0.9086,0.9091,0.8943,0.8999,512.0
2009,1,0.8993,0.9026,0.8894,0.8918,767.0
2009,2,0.892,0.9062,0.8913,0.9046,548.0
2009,3,0.9044,0.9061,0.8955,0.8955,570.0
2009,4,0.8961,0.9299,0.8934,0.9257,693.0
2009,5,0.9267,0.932,0.926,0.931,698.0
2009,1,0.9313,0.9343,0.9301,0.9314,1196.0
2009,2,0.932,0.933,0.9275,0.9299,1066.0
2009,3,0.9299,0.9306,0.9128,0.9143,955.0
2009,4,0.9137,0.9156,0.9044,0.9044,484.0
2009,5,0.9057,0.9109,0.902,0.9079,821.0
2009,1,0.9092,0.9199,0.9071,0.9194,799.0
2009,2,0.9185,0.9207,0.9175,0.9198,1192.0
2009,3,0.9202,0.9203,0.9086,0.911,906.0
2009,4,0.9104,0.9176,0.9092,0.9157,1171.0
2009,5,0.9157,0.9243,0.9138,0.9203,1150.0
2009,1,0.9226,0.9243,0.9088,0.9112,1080.0
2009,2,0.9109,0.912,0.901,0.902,734.0
2009,3,0.9022,0.9109,0.9001,0.9096,503.0
2009,4,0.9091,0.9167,0.908,0.9166,972.0
2009,5,0.9161,0.9195,0.9138,0.9189,815.0
2009,1,0.9187,0.9203,0.9133,0.9175,1060.0
2009,2,0.9135,0.9238,0.9121,0.9238,775.0
2009,3,0.9238,0.93,0.921,0.9277,1463.0
2009,4,0.9271,0.9454,0.927,0.9452,1351.0
2009,5,0.9444,0.9472,0.939,0.9413,3040.0
2009,1,0.9427,0.9446,0.9268,0.9291,2154.0
2009,2,0.9285,0.9394,0.9276,0.936,2267.0
2009,3,0.9361,0.95,0.935,0.9482,1330.0
2009,4,0.9494,0.9519,0.9469,0.9488,1565.0
2009,5,0.9494,0.9618,0.9345,0.9597,1693.0
2009,1,0.9613,0.962,0.9423,0.9443,2055.0
2009,2,0.943,0.9458,0.9361,0.9437,2127.0
2009,3,0.9431,0.9453,0.9373,0.939,2796.0
2009,4,0.9388,0.9422,0.9361,0.9394,2854.0
2009,5,0.9393,0.9425,0.9341,0.9361,1841.0
2009,1,0.9401,0.9489,0.9387,0.9482,1019.0
2009,2,0.9487,0.9493,0.9358,0.9364,1754.0
2009,3,0.9365,0.9454,0.936,0.9445,2066.0
2009,4,0.944,0.9564,0.9433,0.9543,1351.0
2009,5,0.955,0.9591,0.9529,0.9569,2713.0
2009,1,0.9593,0.9635,0.9558,0.9595,3230.0
2009,2,0.959,0.9644,0.9583,0.9638,2243.0
2009,3,0.9636,0.9722,0.9581,0.9719,1875.0
2009,4,0.9715,0.9747,0.9629,0.965,1873.0
2009,5,0.9657,0.9714,0.947,0.9614,1973.0
2009,1,0.9612,0.9626,0.9499,0.9506,2101.0
2009,2,0.9517,0.9531,0.9478,0.9524,2296.0
2009,3,0.9489,0.9522,0.9412,0.9437,1449.0
2009,4,0.9451,0.9457,0.9404,0.9423,1639.0
2009,5,0.9421,0.953,0.938,0.9515,1984.0
2009,1,0.9527,0.9599,0.9517,0.9576,2999.0
2009,2,0.9573,0.9606,0.9566,0.9596,1497.0
2009,3,0.9605,0.9659,0.9577,0.9635,1655.0
2009,4,0.9626,0.9669,0.9589,0.9607,2549.0
2009,5,0.9609,0.9697,0.9602,0.9691,976.0
2009,1,0.9661,0.9666,0.9602,0.9626,3813.0
2009,2,0.9629,0.9714,0.962,0.9709,2816.0
2009,3,0.9715,0.9774,0.971,0.9742,1610.0
2009,4,0.974,0.9755,0.9715,0.973,2003.0
2009,5,0.9732,0.9788,0.9699,0.9766,1735.0
2009,1,0.9781,0.9836,0.9774,0.98,1255.0
2009,2,0.9786,0.9822,0.9786,0.9799,1555.0
2009,3,0.9803,0.9831,0.9605,0.9635,2647.0
2009,4,0.9642,0.9755,0.9593,0.9726,1746.0
2009,5,0.9716,0.9743,0.9647,0.9695,1782.0
2009,1,0.9712,0.9783,0.9704,0.9776,813.0
2009,2,0.9784,0.9844,0.9752,0.9755,1784.0
2009,3,0.9761,0.9775,0.9738,0.9743,1521.0
2009,4,0.9745,0.9793,0.9696,0.9708,1700.0
2009,5,0.9701,0.9706,0.9553,0.9641,1507.0
2009,1,0.9641,0.9652,0.9622,0.9638,1681.0
2009,2,0.9614,0.9622,0.9579,0.9589,941.0
2009,3,0.9596,0.9611,0.9528,0.9537,741.0
2009,4,0.9539,0.96,0.9508,0.9589,1522.0
2009,5,0.9586,0.963,0.9495,0.9518,1233.0
2009,1,0.9523,0.9534,0.9399,0.9418,913.0
2009,2,0.9411,0.9417,0.9262,0.9273,1841.0
2009,3,0.929,0.9544,0.9274,0.9494,1028.0
2009,4,0.9483,0.9497,0.9432,0.9458,31713.0
2009,5,0.9461,0.9491,0.9361,0.9401,36065.0
2009,1,0.9395,0.9425,0.9339,0.9358,3369.0
2009,2,0.935,0.9379,0.9331,0.9338,1818.0
2009,3,0.9333,0.9367,0.9332,0.9353,2113.0
2009,4,0.9352,0.9394,0.9313,0.9351,1887.0
2009,5,0.9341,0.9397,0.9333,0.9356,1873.0
2009,1,0.9361,0.9397,0.9331,0.9348,1537.0
2009,2,0.9349,0.9364,0.9325,0.9333,1925.0
2009,3,0.9354,0.9371,0.9324,0.9369,1280.0
2009,4,0.9372,0.9373,0.9265,0.9287,1309.0
2009,5,0.9287,0.9369,0.9286,0.933,1653.0
2009,1,0.9334,0.9409,0.9298,0.9399,2471.0
2009,2,0.9388,0.9613,0.9387,0.959,2306.0
2009,3,0.9589,0.9656,0.953,0.9636,2252.0
2009,4,0.963,0.9633,0.9588,0.9602,1708.0
2009,5,0.9602,0.967,0.9597,0.9657,2062.0
2009,1,0.9653,0.9702,0.9637,0.9647,1440.0
2009,2,0.9649,0.9663,0.9629,0.9648,1657.0
2009,3,0.9648,0.9696,0.9633,0.9693,1698.0
2009,4,0.969,0.9877,0.9682,0.9854,1818.0
2009,5,0.984,0.9891,0.9824,0.987,1962.0
