year,day_in_week,Open,High,Low,Close,Volume
2009,1,85.95,85.95,83.77,84.09,139536.9063
2009,2,84.095,84.245,83.36,83.63,138234.9063
2009,3,83.63,85.255,83.59,83.965,120394.1016
2009,4,83.965,84.14,82.915,83.47,122988.8984
2009,5,83.47,83.54,80.84,81.058,111262.1016
2009,1,80.835,80.99,79.695,80.185,115777.1016
2009,2,80.185,80.205,79.335,79.87,129209.7969
2009,3,79.89,80.73,79.32,79.92,122529.3984
2009,4,79.915,80.255,79.02,80.15,160472.2969
2009,5,80.165,81.385,80.04,81.043,135252.2031
2009,1,81.62,81.825,79.545,80.015,127775.2031
2009,2,80.01,80.05,77.954,78.23,141907.9063
2009,3,78.23,78.985,75.91,77.12,238178.4063
2009,4,77.12,77.6,76.15,77.22,224480.4063
2009,5,77.215,77.295,75.415,76.64,122329.6016
2009,1,76.095,78.5,76.08,78.385,155323.0
2009,2,78.39,79.435,77.475,78.33,154881.0
2009,3,78.33,78.775,77.855,78.48,155360.0938
2009,4,78.475,78.69,77.62,77.87,183223.4063
2009,5,77.87,77.95,76.835,77.43,182596.0
2009,1,77.09,77.675,76.17,76.865,210616.0
2009,2,76.865,78.335,76.64,78.06,217637.0
2009,3,78.06,78.47,76.54,77.23,219907.5938
2009,4,77.23,79.375,76.85,77.815,268346.3125
2009,5,77.815,79.48,77.32,79.04,225624.2969
2009,1,79.305,79.705,78.045,78.205,226941.2031
2009,2,78.21,79.42,77.42,78.165,249045.2031
2009,3,78.18,78.335,77.6,77.77,196097.7031
2009,4,77.795,78.335,77.06,78.055,197999.5
2009,5,78.05,79.495,77.92,79.102,184644.5938
2009,1,78.6,79.215,78.26,79.06,231320.4219
2009,2,79.07,79.22,78.085,78.93,260632.7031
2009,3,78.93,79.825,78.68,79.69,206653.4063
2009,4,79.695,80.565,79.22,80.01,193206.2031
2009,5,80.01,81.105,78.905,80.598,203093.7031
2009,1,80.64,81.785,80.37,80.58,235532.4063
2009,2,80.58,83.67,80.485,83.35,206859.5938
2009,3,83.35,83.955,82.945,83.23,237455.5938
2009,4,83.23,84.765,83.16,84.295,186299.0
2009,5,84.31,84.335,82.445,83.353,223019.0938
2009,1,82.84,83.87,82.375,82.535,217570.0938
2009,2,82.54,83.925,82.51,83.54,258123.5
2009,3,83.54,85.065,83.045,84.675,187705.2969
2009,4,84.675,85.0,83.295,83.845,206816.0938
2009,5,83.84,85.15,83.53,84.85,210114.7969
2009,1,84.87,85.43,84.445,85.355,190824.2031
2009,2,85.37,85.875,84.785,85.185,222164.2969
2009,3,85.19200000000001,85.24,83.79,84.125,228792.0
2009,4,84.13,84.345,81.33,81.97,252499.9063
2009,5,81.965,83.155,81.835,82.613,214301.2031
2009,1,82.46,83.4,82.395,82.915,221175.7969
2009,2,82.9,83.73,82.835,83.645,233317.5938
2009,3,83.66,84.552,83.215,84.445,236628.7031
2009,4,84.445,84.665,83.255,84.095,322037.1875
2009,5,84.095,85.55,84.08,85.09,242814.7031
2009,1,85.245,86.43,85.185,86.255,262193.0938
2009,2,86.255,87.715,86.225,86.94,295596.0938
2009,3,86.94,87.23,86.015,87.115,281405.0938
2009,4,87.135,87.725,86.825,87.55,258658.2969
2009,5,87.545,87.73,85.07,85.49799999999999,262915.4063
2009,1,85.615,85.88,83.375,84.635,303689.9063
2009,2,84.625,87.335,84.595,87.19,257021.2031
2009,3,87.175,87.19,85.775,86.005,258311.7969
2009,4,86.01,87.985,85.87,87.895,258204.4063
2009,5,87.895,88.77,87.245,88.62100000000001,237862.2969
2009,1,89.145,89.99,87.95,88.19,241371.0
2009,2,88.195,88.7,87.055,88.05,247515.9063
2009,3,88.045,88.09,86.43,86.93,271294.4063
2009,4,86.935,87.635,86.555,86.795,256838.9063
2009,5,86.8,86.885,86.36,86.84,64946.8984
2009,1,86.74,88.65,86.38,88.53,119517.2969
2009,2,88.53,88.545,86.695,87.045,213956.5938
2009,3,87.05,87.135,86.04,86.84,246349.0938
2009,4,86.835,87.27,85.52,86.67,251815.2969
2009,5,86.67,86.805,84.695,85.07,303023.1875
2009,1,84.95,85.04,83.495,83.52,286887.1875
2009,2,83.52,84.69,83.47,84.34,273677.3125
2009,3,84.335,84.69,83.555,84.24,272150.8125
2009,4,84.235,85.285,83.79,84.94,270927.3125
2009,5,84.935,85.6,84.25,85.405,288112.4063
2009,1,84.945,85.045,83.23,83.33,305033.1875
2009,2,83.32,84.44,82.68,84.39,341354.0938
2009,3,84.39,86.13,84.335,85.9,304670.9063
2009,4,85.905,86.895,85.57,86.755,356638.9063
2009,5,86.755,87.615,86.615,87.21700000000001,205857.4063
2009,1,87.40299999999999,88.085,87.02,87.77,242871.0
2009,2,87.77,87.845,86.965,87.075,281540.4063
2009,3,87.07,87.65,86.105,86.92,338536.8125
2009,4,86.92,88.12,86.515,87.74,337491.5
2009,5,87.74,89.197,87.39,89.016,328659.0
2009,1,89.29,89.33,87.655,87.94,275187.9063
2009,2,87.94,88.545,86.765,87.24,305938.6875
2009,3,87.26,87.745,85.68,85.785,360721.1875
2009,4,85.785,87.05,85.655,86.875,323006.5938
2009,5,86.87,87.01,84.47200000000001,84.85,320082.4063
2009,1,84.52,86.56,84.05,86.38,359140.8438
2009,2,86.365,87.04,85.995,86.805,323728.9063
2009,3,86.805,87.035,85.85,86.0,334139.0938
2009,4,86.0,86.54,85.485,86.105,338412.8125
2009,5,86.125,87.525,86.04,87.25299999999999,326562.1875
2009,1,87.205,87.785,86.92,87.605,274310.0938
2009,2,87.605,87.985,86.705,87.865,390812.9063
2009,3,87.87,88.07,87.095,87.47,360029.0
2009,4,87.465,89.44,87.355,89.185,393348.3125
