year,day_in_week,Open,High,Low,Close,Volume
2009,1,1.55495,1.63415,1.551,1.6309,216794.5
2009,2,1.6309,1.67515,1.61895,1.66345,224391.5
2009,3,1.66335,1.676,1.6335,1.6634,241104.5938
2009,4,1.6634,1.6821,1.65135,1.6652,198514.5938
2009,5,1.6657,1.6946,1.65145,1.6905,174588.2031
2009,1,1.6803,1.6884,1.6486,1.6522,226771.4063
2009,2,1.6522,1.65515,1.61835,1.623,256376.0938
2009,3,1.6233,1.64115,1.61655,1.62925,261096.5
2009,4,1.6295,1.64925,1.6246,1.6452,405093.0938
2009,5,1.64525,1.67705,1.6329,1.64825,414068.0938
2009,1,1.66065,1.66405,1.6279,1.63295,304948.0938
2009,2,1.63295,1.6336,1.58485,1.59185,304595.5
2009,3,1.5918,1.6155,1.5643,1.6017,380493.0
2009,4,1.6017,1.61535,1.5821,1.6009,327965.4063
2009,5,1.6009,1.6042,1.57435,1.59025,213632.0
2009,1,1.58055,1.6093,1.57435,1.5893,335135.9063
2009,2,1.5894,1.6208,1.58875,1.616,286129.375
2009,3,1.61615,1.6482,1.6119,1.6394,308685.6875
2009,4,1.6394,1.65165,1.62625,1.6478,290935.6875
2009,5,1.6478,1.68987,1.6371,1.68803,238280.9063
2009,1,1.6725,1.6797,1.6348,1.6503,274669.3125
2009,2,1.6503,1.6586,1.6372,1.65125,283864.5625
2009,3,1.65115,1.68565,1.64085,1.6734,321313.5938
2009,4,1.67345,1.7149,1.6682,1.7129,296901.3125
2009,5,1.7129,1.729,1.70845,1.716,216651.9063
2009,1,1.7191,1.7359,1.70935,1.7335,326668.9063
2009,2,1.73345,1.7482,1.67465,1.6835,357333.4063
2009,3,1.6835,1.6836,1.6537,1.6656,317795.1875
2009,4,1.66565,1.66765,1.64545,1.6591,314471.5938
2009,5,1.65905,1.69495,1.6575,1.66575,297424.4063
2009,1,1.65615,1.66955,1.65135,1.6571,224965.9063
2009,2,1.6571,1.67945,1.65565,1.6641,396131.1875
2009,3,1.66405,1.6827,1.65475,1.67335,318452.1875
2009,4,1.67335,1.69645,1.67075,1.6751,309265.8125
2009,5,1.6751,1.7031,1.65485,1.66765,322654.4063
2009,1,1.66505,1.7041,1.66175,1.6921,391487.6875
2009,2,1.6921,1.7027,1.6741,1.6821,368638.0
2009,3,1.6821,1.6911,1.65445,1.6626,338069.6875
2009,4,1.6626,1.67895,1.6559,1.66645,239228.0938
2009,5,1.6668,1.6757,1.65465,1.67393,235905.9063
2009,1,1.6682,1.67715,1.637,1.65015,305090.6875
2009,2,1.65015,1.65985,1.64385,1.6532,381301.8125
2009,3,1.65345,1.66815,1.6511,1.65695,384252.6875
2009,4,1.6574,1.66845,1.6499,1.65305,250974.2031
2009,5,1.6531,1.6582,1.6232,1.63313,268379.6875
2009,1,1.63325,1.6389,1.59369,1.5978,274626.5
2009,2,1.5978,1.6049,1.5846,1.5986,300591.5
2009,3,1.59865,1.60525,1.59065,1.59855,407635.0938
2009,4,1.59855,1.65625,1.5873,1.6522,284983.3125
2009,5,1.6522,1.6738,1.6475,1.65878,321242.1875
2009,1,1.65975,1.6835,1.659,1.66685,353796.9063
2009,2,1.66695,1.6742,1.65275,1.6594,362733.9063
2009,3,1.65945,1.6617,1.61025,1.63,334093.0938
2009,4,1.62995,1.63825,1.62105,1.62815,414597.5938
2009,5,1.62815,1.635,1.61775,1.62963,351595.4063
2009,1,1.6289,1.64845,1.62735,1.6391,374393.4063
2009,2,1.63925,1.6657,1.63765,1.66195,392712.7813
2009,3,1.6621,1.6629,1.62205,1.6323,364897.625
2009,4,1.6322,1.6424,1.62575,1.62985,356471.3125
2009,5,1.6299,1.6439,1.6214,1.63713,308687.3125
2009,1,1.6346,1.64115,1.6229,1.64015,403907.625
2009,2,1.64015,1.64275,1.62435,1.6353,350797.9063
2009,3,1.6354,1.65965,1.62965,1.65705,322208.4063
2009,4,1.65705,1.6795,1.65445,1.67125,338160.9688
2009,5,1.67135,1.6839,1.66605,1.6779099999999998,288636.0938
2009,1,1.6783,1.68835,1.66735,1.66735,314235.1875
2009,2,1.6673,1.69115,1.66465,1.68335,303780.3125
2009,3,1.68335,1.69005,1.6803,1.6863,309507.1563
2009,4,1.6863,1.6991,1.6775,1.69605,288917.125
2009,5,1.69605,1.70035,1.68887,1.69314,68326.9531
2009,1,1.6912,1.6978,1.6790200000000002,1.68365,134664.4063
2009,2,1.6836,1.706,1.6828,1.69515,295333.3125
2009,3,1.69505,1.7195,1.6923,1.71375,328963.5938
2009,4,1.7138,1.71855,1.7058,1.71285,307937.3125
2009,5,1.7129,1.73135,1.7085,1.72325,314940.0625
2009,1,1.7261,1.72805,1.69325,1.6943,316985.6875
2009,2,1.6943,1.7149,1.69405,1.7127,305170.8125
2009,3,1.71275,1.7153,1.67955,1.68675,275191.9063
2009,4,1.6868,1.7004,1.6798,1.6902,328588.5
2009,5,1.6902,1.69175,1.6622,1.6711900000000002,319096.125
2009,1,1.66685,1.697,1.66465,1.69015,372797.8125
2009,2,1.69015,1.6957,1.6703,1.6741,367254.8125
2009,3,1.67425,1.68285,1.6709,1.6775,354322.6875
2009,4,1.6777,1.6919,1.6753,1.6865,350877.8125
2009,5,1.68655,1.69675,1.67955,1.693,235627.0469
2009,1,1.6969,1.6989,1.68685,1.6919,301967.2813
2009,2,1.6919,1.7106,1.6891,1.70635,421488.4063
2009,3,1.70615,1.7191,1.69965,1.7167,371066.8125
2009,4,1.7166,1.72525,1.69185,1.69765,287197.1875
2009,5,1.69755,1.7011,1.6791,1.683,284058.4063
2009,1,1.68135,1.6844,1.6649,1.67725,281544.3125
2009,2,1.6775,1.69285,1.6708,1.6862,330484.5
2009,3,1.6862,1.6882,1.66995,1.6786,312755.5938
2009,4,1.6787,1.683,1.672,1.68195,295066.1875
2009,5,1.6818,1.7044,1.67855,1.70133,289983.9063
2009,1,1.7032,1.7169,1.6995,1.7084,330564.25
2009,2,1.70835,1.7272,1.7056,1.71655,345530.0938
2009,3,1.71655,1.73615,1.7098,1.7313,323909.1875
2009,4,1.7313,1.7385,1.70755,1.7326,311415.2188
2009,5,1.73225,1.73535,1.71975,1.72633,294265.3125
2009,1,1.725,1.72745,1.7193,1.72325,132636.2031
2009,2,1.7232,1.7309,1.72165,1.7294,390614.3125
2009,3,1.72935,1.7478,1.72915,1.7432,381322.375
2009,4,1.7431,1.74505,1.7237,1.7291,423215.8125
2009,5,1.72905,1.73795,1.71525,1.72613,384376.8125
2009,1,1.7299,1.76175,1.72795,1.75965,330085.1875
2009,2,1.75955,1.7607,1.74365,1.75955,417576.1875
2009,3,1.75965,1.7712,1.7397,1.7457,427979.1875
2009,4,1.7456,1.75505,1.722,1.72325,367313.1875
2009,5,1.72325,1.7404,1.71195,1.73415,287964.4063
2009,1,1.73375,1.7537,1.7256,1.7527,390436.1875
2009,2,1.7527,1.7635,1.74985,1.7591,391279.5
2009,3,1.7594,1.7699,1.7564,1.76725,391833.625
2009,4,1.76735,1.7796,1.7645,1.7738,365212.0938
2009,5,1.774,1.7817,1.76675,1.77443,327347.0938
2009,1,1.77275,1.7876400000000001,1.7691,1.77843,119256.2031
2009,2,1.77843,1.7883,1.7708400000000002,1.78286,126955.6016
2009,3,1.78246,1.7859,1.7652299999999999,1.7709099999999998,124934.7969
2009,4,1.7708700000000002,1.77814,1.74649,1.7755400000000001,136049.7969
2009,5,1.7754299999999998,1.7863,1.76997,1.78177,181041.0
2009,1,1.78155,1.793,1.77285,1.7733,343045.0
2009,2,1.7732,1.7747,1.74715,1.7545,419305.8125
2009,3,1.7545,1.81155,1.75285,1.803,371260.0625
2009,4,1.80305,1.8051,1.78175,1.7926099999999998,447239.4063
2009,5,1.79266,1.80025,1.785,1.78892,396606.0
2009,1,1.7883,1.8011,1.7876,1.7929,394141.9063
2009,2,1.79295,1.80705,1.78545,1.78835,381831.8125
2009,3,1.78835,1.7888,1.76845,1.77295,328860.5
2009,4,1.77295,1.7836,1.7615,1.7773,335972.8125
2009,5,1.77725,1.78105,1.77227,1.77321,206043.4063
2009,1,1.7733,1.7733,1.7569,1.76525,371250.5
2009,2,1.7652,1.76675,1.7519,1.75365,396183.3125
2009,3,1.75355,1.7598,1.7464,1.74995,366838.8125
2009,4,1.74995,1.7638,1.74955,1.76245,364542.8125
2009,5,1.76245,1.7749,1.7537,1.7610299999999999,348736.5
2009,1,1.75505,1.76075,1.7389,1.7588,388073.5938
2009,2,1.7588,1.7781,1.75825,1.7775,377465.9063
2009,3,1.7774,1.77845,1.7615,1.7663,306341.6875
2009,4,1.76645,1.76985,1.75985,1.76245,309883.4375
2009,5,1.7625,1.7636,1.75435,1.7582,311922.3125
2009,1,1.7599,1.7704,1.7569,1.76615,297354.7188
2009,2,1.76615,1.76665,1.7486,1.753,313678.375
2009,3,1.7529,1.75755,1.7447,1.7549,301384.5
2009,4,1.7549,1.7741,1.75255,1.7724,333855.6563
2009,5,1.7724,1.7745,1.754,1.7607700000000002,270741.3125
2009,1,1.75985,1.76995,1.75465,1.76355,313384.2813
2009,2,1.7636,1.77325,1.7603,1.7665,316927.8125
2009,3,1.7664,1.78645,1.75915,1.78115,367399.8125
2009,4,1.7811,1.8027,1.77815,1.79425,334518.5938
2009,5,1.7944,1.802,1.78,1.78469,308618.8125
