year,day_in_week,Open,High,Low,Close,Volume
2003,1,0.9105,0.9134,0.9035,0.9074,1772.16
2003,2,0.9065,0.9097,0.9031,0.9072,823.68
2003,3,0.9072,0.9117,0.9039,0.9097,2146.5601
2003,4,0.9093,0.911,0.9055,0.907,823.68
2003,5,0.9063,0.9111,0.906,0.9056,2271.3601
2003,1,0.907,0.9158,0.9056,0.9078,2296.3201
2003,2,0.9064,0.9125,0.9064,0.9082,1946.88
2003,3,0.908,0.9106,0.9044,0.9068,2071.6799
2003,4,0.9067,0.9169,0.906,0.9151,1098.24
2003,5,0.9151,0.9184,0.9127,0.9134,1722.24
2003,1,0.9141,0.9178,0.9104,0.9146,3294.72
2003,2,0.9147,0.9194,0.9118,0.9147,2021.76
2003,3,0.9133,0.9296,0.9133,0.9238,3244.8
2003,4,0.924,0.9282,0.9183,0.9184,2346.24
2003,5,0.9183,0.9205,0.9136,0.9127,2970.24
2003,1,0.9127,0.9149,0.9082,0.9095,3294.72
2003,2,0.9094,0.9106,0.8968,0.8978,823.68
2003,3,0.897,0.9009,0.8915,0.897,2471.04
2003,4,0.8961,0.8998,0.8923,0.8927,3070.0801
2003,5,0.8919,0.9017,0.8919,0.8966,2346.24
2003,1,0.8962,0.8985,0.8892,0.8905,1921.92
2003,2,0.8898,0.8941,0.885,0.8875,2920.3201
2003,3,0.8869,0.8915,0.8821,0.8829,898.56
2003,4,0.8825,0.8855,0.8774,0.8804,3294.72
2003,5,0.8797,0.8889,0.8775,0.887,2970.24
2003,1,0.8859,0.8937,0.8834,0.8902,2870.3999
2003,2,0.8899,0.9018,0.8889,0.8995,2970.24
2003,3,0.8996,0.9017,0.8975,0.8983,3269.76
2003,4,0.8976,0.9057,0.8953,0.9039,2645.76
2003,5,0.9027,0.9079,0.9018,0.9051,2221.4399
2003,1,0.9037,0.9104,0.9022,0.9087,2995.2
2003,2,0.909,0.9112,0.9047,0.9057,2620.8
2003,3,0.9055,0.9093,0.9044,0.9063,2695.6799
2003,4,0.9071,0.9125,0.9058,0.9075,2346.24
2003,5,0.9075,0.9105,0.9057,0.9057,1647.36
2003,1,0.9088,0.9181,0.9078,0.9175,1472.64
2003,2,0.9172,0.9214,0.9133,0.9154,1896.96
2003,3,0.9151,0.9197,0.9137,0.9139,2421.1201
2003,4,0.9139,0.9208,0.9139,0.9141,3169.9199
2003,5,0.9128,0.9205,0.9122,0.9119,3144.96
2003,1,0.9132,0.9182,0.9093,0.9158,1048.3199
2003,2,0.9157,0.9239,0.9093,0.9191,1098.24
2003,3,0.9188,0.9254,0.9175,0.9228,1497.6
2003,4,0.9217,0.9243,0.9162,0.916,1048.3199
2003,5,0.916,0.9187,0.9111,0.9116,3169.9199
2003,1,0.9111,0.9192,0.9104,0.9176,1647.36
2003,2,0.9178,0.9221,0.9172,0.9189,1522.5601
2003,3,0.9181,0.9226,0.9163,0.9187,1297.92
2003,4,0.9183,0.9248,0.9172,0.9209,2171.52
2003,5,0.9226,0.9258,0.9118,0.9129,2595.8401
2003,1,0.9124,0.9141,0.9098,0.9097,3120.0
2003,2,0.9095,0.9148,0.9065,0.9131,1672.3199
2003,3,0.9124,0.917,0.9113,0.9098,1347.84
2003,4,0.9104,0.9147,0.9063,0.908,1272.96
2003,5,0.9078,0.9126,0.9064,0.909,1297.92
